Allele	AMEL	CSF1PO	D10S1248	D12S391	D13S317	D16S539	D18S51	D19S433	D1S1656	D21S11	D22S1045	D2S1338	D2S441	D3S1358	D5S818	D6S1043	D7S820	D8S1179	F13A01	F13B	FESFPS	FGA	LPL	Penta_C	Penta_D	Penta_E	SE33	TH01	TPOX	vWA
2.2																														
3.2																			0.3093											
4.0																			0.1237											
4.2																														
5.0																			0.0619					0.0258		0.0722				
6.0																			0.4897	0.0155					0.0103			0.1701		
6.3																														
7.0		0.0206													0.0155		0.0052		0.0155	0.0052			0.0052	0.0052				0.2680		
8.0					0.2216								0.0052		0.0052		0.1289			0.0464				0.0670	0.0052	0.0052		0.0722	0.5515	
8.1																														
9.0		0.0670			0.1443	0.3557									0.0979		0.0464			0.1959	0.0155		0.0052	0.3557	0.3144	0.0258		0.4433	0.0773	
9.1													0.0052																	
9.3																												0.0412		
10.0		0.2010	0.0052		0.1031	0.1649							0.2680		0.2268	0.0309	0.2577	0.1237		0.7320	0.0928		0.6443	0.0670	0.1856	0.0619		0.0052	0.0258	
10.1																														
10.2																														
10.3																					0.0052									
11.0		0.2165			0.2680	0.1907			0.0309		0.2010		0.3505		0.2680	0.1495	0.3608	0.1186		0.0052	0.3608		0.1186	0.3144	0.1804	0.1598			0.2990	
11.2																														
11.3													0.0309																	
12.0		0.3866	0.0876		0.2062	0.1753	0.0361	0.0361	0.0464		0.0052		0.2165		0.2062	0.1237	0.1753	0.1186			0.3093		0.2113	0.1443	0.1804	0.0928			0.0464	
12.2								0.0258																						
12.3													0.0052			0.0052														
13.0		0.0876	0.3196		0.0567	0.0979	0.2165	0.2835	0.1340				0.0258		0.1649	0.1237	0.0258	0.2010			0.1959		0.0155	0.0155	0.1031	0.0515				
13.2								0.0206																						
13.3																														
13.4																														
14.0		0.0155	0.2526			0.0155	0.2371	0.2990	0.0619		0.0103		0.0825	0.0258	0.0155	0.1546		0.2010			0.0206			0.0052	0.0103	0.0515				0.1959
14.2								0.1031																						
14.3																														
15.0		0.0052	0.2062	0.0412			0.1804	0.0619	0.2784		0.3093		0.0103	0.3660		0.0361		0.1289							0.0103	0.1134	0.0103			0.0206
15.2								0.1237																						
15.3																														
15.4																														
16.0			0.0979	0.0103			0.1289	0.0103	0.2010		0.2268	0.0206		0.3299		0.0052		0.0928								0.0567	0.0309			0.1392
16.2								0.0309																						
16.3									0.0155																					
17.0			0.0309	0.0825			0.0670		0.0722		0.2216	0.0567		0.2010		0.0722		0.0103				0.0103				0.0825	0.0309			0.3144
17.1																														
17.2								0.0052																						
17.3									0.0876																					
18.0				0.2629			0.0309		0.0155		0.0206	0.1340		0.0670		0.1598		0.0052				0.0258				0.0773	0.0619			0.2062
18.1																														
18.2																														
18.3									0.0515																					
19.0				0.1753			0.0412				0.0052	0.1804		0.0103		0.0928						0.0567				0.0412	0.0619			0.1082
19.1																														
19.2																														
19.3				0.0052					0.0052																					
19.4																										0.0103				
20.0				0.1959			0.0258					0.1598				0.0412						0.0876				0.0206	0.0928			0.0155
20.1																														
20.2																											0.0155			
20.3																														
21.0				0.0979			0.0103					0.0155				0.0052						0.1031				0.0206	0.0515			
21.2																											0.0258			
21.3																														
22.0				0.0567			0.0155					0.0515										0.2423				0.0309	0.0155			
22.2																											0.0412			
22.3																														
23.0				0.0258			0.0052					0.1649										0.2062				0.0206	0.0103			
23.2																											0.0464			
23.3																														
24.0				0.0103								0.1289										0.1495								
24.2																						0.0052					0.0619			
24.3				0.0052																										
25.0				0.0155								0.0464										0.0722				0.0052				
25.2																											0.0567			
26.0				0.0103								0.0361										0.0309								
26.2																											0.0722			
27.0				0.0052								0.0052										0.0052								
27.2																											0.1031			
27.3																														
28.0							0.0052			0.0567																				
28.2										0.0052																	0.0773			
28.3																														
29.0										0.2010																				
29.2																											0.0619			
29.3																														
30.0										0.3299																				
30.2										0.0052																	0.0361			
30.3										0.0103																				
31.0										0.1237																				
31.2										0.0361																	0.0258			
32.0										0.0567																				
32.2										0.1134																	0.0103			
33.0										0.0155																				
33.1																														
33.2										0.0464																				
34.0																														
34.2																														
35.0																														
36.0																														
37.0																														
38.0																														
39.0																														
43.2																						0.0052								
X	0.5052																													
Y	0.4948																													
