Allele	AMEL	CSF1PO	D10S1248	D12S391	D13S317	D16S539	D18S51	D19S433	D1S1656	D21S11	D22S1045	D2S1338	D2S441	D3S1358	D5S818	D6S1043	D7S820	D8S1179	F13A01	F13B	FESFPS	FGA	LPL	Penta_C	Penta_D	Penta_E	SE33	TH01	TPOX	vWA
2.2																									0.0169					
3.2																			0.2140						0.0021					
4.0																			0.0826											
4.2																														
5.0																			0.1949					0.0169	0.0064	0.0360				
6.0																			0.1716	0.1186					0.0021			0.2394	0.0085	
6.3																											0.0021			
7.0		0.0127													0.0339		0.0106		0.3030	0.0212	0.0021		0.0042	0.0064	0.0021	0.1186		0.2966	0.0064	
8.0		0.0042			0.1102	0.0191									0.0085		0.1208	0.0148	0.0064	0.1864	0.0169			0.0339	0.0191	0.0254		0.0911	0.4852	
8.1																														
9.0		0.0233			0.1653	0.1398		0.0021							0.0530		0.0911	0.0064	0.0042	0.2309	0.0085		0.0424	0.2225	0.2415	0.0169		0.1462	0.0932	
9.1																														
9.3																												0.2182		
10.0		0.2373			0.0996	0.1504	0.0021	0.0021	0.0064		0.0148		0.3369		0.0572	0.0042	0.3072	0.0932		0.4407	0.2034		0.4852	0.0657	0.1568	0.0847		0.0085	0.0487	
10.1																														
10.2																														
10.3																	0.0021				0.0021									
11.0		0.2797	0.0042		0.2182	0.2648	0.0148	0.0148	0.0275		0.0636		0.2987		0.3898	0.1780	0.2775	0.0530		0.0021	0.4640		0.1992	0.3326	0.1568	0.0742			0.2542	0.0021
11.2																														
11.3													0.0445																	
12.0		0.3750	0.0424		0.2352	0.2775	0.1144	0.0657	0.0890		0.0127		0.0360		0.3390	0.2055	0.1547	0.1292	0.0042		0.2140		0.2119	0.2034	0.1631	0.1737	0.0042		0.1038	
12.2								0.0127																			0.0042			
12.3													0.0021																	
13.0		0.0593	0.2733		0.1059	0.1335	0.1229	0.2225	0.1144		0.0085		0.0233	0.0064	0.1081	0.1017	0.0360	0.2733	0.0064		0.0784		0.0487	0.1081	0.1441	0.0932	0.0085			
13.2								0.0445																						
13.3																														
13.4																														
14.0		0.0064	0.3390		0.0614	0.0127	0.1610	0.3538	0.1165		0.0275		0.2055	0.0784	0.0085	0.1356		0.2627			0.0106		0.0085	0.0106	0.0720	0.0720	0.0275			0.0805
14.2							0.0021	0.0381																			0.0021			
14.3									0.0042																					
15.0		0.0021	0.2119	0.0445	0.0042	0.0021	0.1589	0.1356	0.1377		0.4258		0.0487	0.3220	0.0021	0.0297		0.1292	0.0064						0.0106	0.0911	0.0360			0.1441
15.2								0.0551																			0.0064			
15.3									0.0508																					
15.4																										0.0021				
16.0			0.0996	0.0424			0.1250	0.0254	0.1758		0.3496	0.0297	0.0021	0.2797		0.0021		0.0318	0.0042						0.0042	0.0614	0.0699			0.2839
16.2								0.0275																						
16.3									0.0508																		0.0042			
17.0			0.0254	0.0763			0.1250		0.0424		0.0911	0.1695	0.0021	0.1843		0.0487		0.0042	0.0021			0.0021			0.0021	0.0551	0.0763			0.2458
17.1																														
17.2																														
17.3				0.0169					0.1483																		0.0042			
18.0			0.0021	0.1780			0.0784		0.0064		0.0064	0.0805		0.1229		0.1081		0.0021				0.0127				0.0339	0.1102			0.1801
18.1																0.0021														
18.2																														
18.3				0.0127					0.0254																					
19.0			0.0021	0.1886			0.0466					0.1928		0.0042		0.0763						0.0805				0.0212	0.0890			0.0508
19.1				0.0021																										
19.2																											0.0064			
19.3				0.0064					0.0042							0.0021														
19.4																														
20.0				0.1547			0.0275					0.1271		0.0021		0.0318						0.0847				0.0212	0.0487			0.0106
20.1																														
20.2																											0.0042			
20.3				0.0021												0.0127														
21.0				0.1123			0.0085					0.0318				0.0064						0.1525				0.0064	0.0169			0.0021
21.2																											0.0169			
21.3																0.0403														
22.0				0.0678			0.0106					0.0572										0.1653				0.0021	0.0148			
22.2				0.0021																		0.0042					0.0212			
22.3																0.0127														
23.0				0.0572								0.1398										0.1208				0.0064				
23.2																						0.0042					0.0233			
23.3																0.0021														
24.0				0.0169			0.0021					0.0763										0.1419								
24.2										0.0021																	0.0233			
24.3																														
25.0				0.0064								0.0784										0.1186				0.0042				
25.2																											0.0233			
26.0				0.0064								0.0169										0.0614								
26.2										0.0021																	0.0742			
27.0				0.0064						0.0275												0.0445					0.0021			
27.2																											0.0763			
27.3																											0.0021			
28.0										0.0996												0.0021								
28.2																											0.0678			
28.3																														
29.0										0.2076												0.0021								
29.2										0.0021																	0.0614			
29.3																														
30.0										0.2733												0.0021					0.0021			
30.2										0.0233																	0.0403			
30.3																														
31.0										0.0763																				
31.2										0.0996																	0.0127			
32.0										0.0169																				
32.2										0.1271																	0.0106			
33.0										0.0042																	0.0021			
33.1										0.0021																				
33.2										0.0339																	0.0042			
34.0										0.0021																				
34.2																														
35.0																														
36.0																														
37.0																														
38.0																														
39.0																														
43.2																														
X	0.5000																													
Y	0.5000																													
